Metric,Value,System
rho,3.692716,Hard-Coded
roa_fraction,0.6055,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6055,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.294845,Hard-Coded
roa_fraction,0.5995,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.5995,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.721267,Hard-Coded
roa_fraction,0.6124,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6124,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.223993,Hard-Coded
roa_fraction,0.6049,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6049,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.117062,Hard-Coded
roa_fraction,0.5807,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.5807,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.047364,Hard-Coded
roa_fraction,0.6077,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6077,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.104609,Hard-Coded
roa_fraction,0.6117,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6117,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.494468,Hard-Coded
roa_fraction,0.6112,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6112,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.523545,Hard-Coded
roa_fraction,0.6025,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6025,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.606432,Hard-Coded
roa_fraction,0.6064,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6064,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,2.887565,Hard-Coded
roa_fraction,0.6022,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6022,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.483874,Hard-Coded
roa_fraction,0.61,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.61,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.460265,Hard-Coded
roa_fraction,0.6151,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6151,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.53898,Hard-Coded
roa_fraction,0.6072,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6072,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.082277,Hard-Coded
roa_fraction,0.6086,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6086,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.411829,Hard-Coded
roa_fraction,0.6066,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6066,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.046943,Hard-Coded
roa_fraction,0.6104,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6104,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.423426,Hard-Coded
roa_fraction,0.61,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.61,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,3.748772,Hard-Coded
roa_fraction,0.6094,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6094,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,2.827298,Hard-Coded
roa_fraction,0.6058,Hard-Coded
decreasing_fraction,1,Hard-Coded
roa_decreasing_fraction,0.6058,Hard-Coded
